CGI,Ave CO46 week 0,Ave CO46 week 1,Ave CO46 week 2,Ave CO46 week 4,Ave CO46 week 6,Ave CO46 week 8,Ave Joelle week 0,Ave Joelle week 1,Ave Joelle week 2,Ave Joelle week 4,Ave Joelle week 6,Ave Joelle week 8
Csa08g050600,3.203926825,1.88335879,1.573678768,2.334569092,1.776083419,1.706184931,2.626120817,2.275933584,1.97861588,0.857064091,1.303723793,0.494579556
Csa08g050610,2.165019021,2.684995972,2.658897621,2.616205137,2.544629614,2.987387594,1.447501506,1.984153722,2.857419374,2.027526541,2.073372242,1.73229858
Csa08g051830,7.41525692,4.176013059,4.053039571,6.767260296,5.529205796,5.71654249,7.732588882,5.617802063,7.180886024,7.768822594,6.76231081,6.888009031
Csa08g051950,3.200253562,2.340813169,3.184980729,2.35499308,3.255799833,2.875044631,2.221035493,1.43729954,1.706021151,2.135669238,2.259299064,3.169399555
Csa08g052060,2.360417702,1.753870219,4.408412485,2.162247469,1.973223601,1.799879456,13.64396305,9.587853666,11.2388838,8.871284414,7.273573934,7.28686786
Csa08g052090,3.830976541,2.304507984,3.186795808,2.687767218,2.484364034,4.173401156,8.176395616,1.71293406,1.766312148,0.762541123,0.603482029,0.796865402
Csa08g052190,1.762928261,1.83977723,1.43438351,3.493177286,3.451925029,3.480226482,1.340734177,2.653292105,2.904350038,5.501131127,4.77127332,6.041987058
Csa08g052410,3.315276135,0.829185835,1.325959959,1.236040493,1.927389105,2.473061773,1.900908165,0.65657315,0.965207142,0.702582607,1.090198043,2.349647712
Csa08g052440,4.591577216,3.751902645,1.988606866,1.906440054,1.472846928,2.450079976,3.807829046,2.320519637,1.966137946,1.634792919,1.40575671,1.405133353
Csa08g052580,38.34843887,40.65976278,27.99995841,45.73325705,41.63959272,39.12192306,30.2345957,46.87764607,49.21567391,58.90624505,47.41726655,43.53392022
Csa08g052660,1.991384349,2.55937653,2.971453666,1.735782667,2.816116383,3.297371105,1.485508973,1.526795096,1.142168705,1.863500593,1.754713314,2.228215092
Csa08g052670,2.340175796,5.317713921,5.257098902,5.330097099,8.990200999,7.509675929,3.567792085,5.042500994,3.077192015,3.632328173,5.335382699,5.371091588
Csa08g052700,3.093083839,1.227920637,1.065305284,1.730787182,1.661465555,2.266171762,2.031429626,0.643074377,0.750625943,0.846240982,0.986244622,1.166358581
Csa08g052840,1.086348232,1.739319193,3.001068267,3.723107749,3.626860153,3.211075302,1.632960237,4.955694186,4.987865317,5.770503218,4.866897595,6.162723617
Csa08g052950,10.61894881,2.968902302,6.291124668,4.329101756,5.517258229,8.863988319,4.298773847,2.725106502,2.787041094,3.499689319,2.734798464,5.08054417
Csa08g053220,1.501462514,2.078622601,2.665977459,2.104419861,2.558662369,2.808014417,2.23726734,0.976884106,1.224102164,1.315758561,2.058660159,1.971042626
Csa08g053240,6.992152008,2.340930564,1.965455999,2.171165927,2.054817776,2.708309754,3.562164215,0.672059996,0.835302684,2.017516061,1.949182622,2.553459948
Csa08g053270,2.480401883,3.963891033,2.413157523,2.476159505,3.400603539,3.669282877,2.952032351,2.753088736,1.938349338,1.628625997,1.768282494,1.861802517
Csa08g053300,2.417195998,2.056336128,2.031181726,2.293833473,2.121566942,3.169487726,1.321151568,1.74762726,1.323635472,1.579614812,1.725082861,1.713217989
Csa08g053320,6.970356622,8.917715284,12.4558299,11.69410219,18.65508879,21.17690927,3.66064548,5.680251326,7.905579288,7.719020901,8.867069254,9.105864859
Csa08g053380,3.412008536,1.436375106,1.579708877,1.266004375,1.446708404,1.195567524,1.999351052,0.976946036,0.970386602,0.790881954,0.886052845,0.87246032
