CGI,Ave CO46 week 0,Ave CO46 week 1,Ave CO46 week 2,Ave CO46 week 4,Ave CO46 week 6,Ave CO46 week 8
Csa16g051390,1.777753048,3.458702819,3.159145302,3.024706524,3.124460051,3.758016751
Csa02g020140,1.956744992,3.1654978,2.880064283,2.493138893,3.483228896,3.068793717
Csa06g013010,35.26827605,4.874171266,3.094199328,4.734416438,4.566552136,15.85182744
Csa07g057870,17.92519212,26.67349145,26.35763155,26.91097145,28.26720251,28.77290533
Csa04g015700,1.294993335,1.739949026,3.194631661,2.413044937,3.122223074,3.78786989
Csa14g067850,3.070023421,5.234227556,3.915812688,4.803761132,4.971750939,5.227173492
Csa10g002180,3.714838977,6.392103506,4.828686348,3.853157212,5.24248634,5.42388255
Csa17g058280,4.026928751,4.497197433,1.024290514,2.349107728,3.716635709,3.880210179
Csa12g069520,17.29600761,12.012153,14.81979213,13.91139496,14.73869142,12.02345713
Csa11g044710,16.49637671,11.01540398,11.03988888,9.600570853,10.46467388,9.016774037
Csa15g031160,14.54303613,6.986328017,5.12119852,6.357097592,5.156169585,8.703931523
Csa07g051300,5.685798921,6.495660403,6.118700694,6.073502026,6.826640764,7.494287633
Csa16g015870,3.339067329,1.933583636,2.51453834,2.588830237,2.689861453,3.261586228
Csa16g050690,1.494907854,3.138109501,5.69601678,4.198899635,4.368210818,4.973116482
Csa14g002670,14.68289508,15.59583168,12.16140628,3.424600427,7.380239671,5.598080619
Csa17g059810,1.767798706,1.739319578,2.823309169,2.192961139,3.122662932,3.056022476
Csa09g073990,8.162390561,11.55552019,11.68019187,8.209342401,8.81365589,8.427883603
Csa06g053000,7.532823244,7.82985417,8.064935698,6.774714319,7.422748916,8.081544171
Csa01g005070,2.017320178,2.075729104,2.042149464,1.695471523,1.775826158,2.462140414
Csa06g052700,6.398199519,4.789612366,5.278571803,4.800053928,6.344024307,6.342969432
Csa19g013900,0.888311952,1.458642877,4.063221847,6.450436896,3.566812458,3.188412264
Csa09g095010,11.49605822,9.803884927,9.163156221,9.320406534,8.034774418,7.232177872
Csa11g090590,5.042623978,3.644542174,3.894439238,4.832936624,4.101559502,6.774639884
Csa18g030010,35.32984456,34.91052191,24.64360739,43.70781997,45.90286062,32.01275231
Csa06g041400,104.2775104,379.2220501,359.2023627,267.6443528,242.4051399,256.2169161
Csa11g043120,2.9934586,1.91132188,1.870312451,1.777173024,1.47156335,1.959308814
Csa11g064560,153.4879264,180.7880149,92.91241059,88.44257259,83.17255202,94.80787151
Csa06g029390,662.2972763,630.489987,805.614086,1058.181632,1072.981172,777.6316104
Csa05g092800,4.302969383,1.926932537,2.8689779,2.533205054,2.600614325,2.255628671
Csa08g054540,4.309668098,6.210359833,5.890338882,6.346618859,4.759033094,7.298825312
Csa17g023060,4.188407649,1.591269472,1.762108709,1.360483454,1.324158495,1.51054713
Csa19g020700,4.609208397,2.221560464,2.919264236,2.85455162,2.824922882,3.610995981
Csa11g070510,5.242781309,2.80965947,3.479594863,3.478253795,3.443198154,4.673766529
Csa16g055600,1.776314386,1.337177875,1.587031526,1.603694655,1.590183075,1.778995721
Csa05g089230,12.6893612,25.00185192,16.45387478,11.97246649,12.72563657,11.79663554
Csa07g037030,13.99576375,23.16372779,18.56193191,11.95315703,12.29630361,10.7851914
Csa14g005570,2.87230936,2.308170231,3.280652141,2.997587225,2.62716703,3.382252583
Csa12g015860,4.629205913,3.292235837,3.323505549,3.292449891,3.901198898,3.398282316
Csa07g061900,4.992778991,3.306821916,0.729740785,1.462257409,1.333917059,1.90255481
Csa08g017920,5.413285247,5.818575227,6.546005326,6.474475363,6.644218934,7.537066584
Csa11g081920,5.384480075,5.177051467,5.135234139,3.340435893,3.992528027,4.422472569
Csa13g001870,1.83048138,1.493102057,1.426535822,1.560060689,1.57399535,2.559337196
Csa14g016430,6.433085412,1.856726196,3.377533715,4.140204129,4.353681364,5.913069218
Csa12g008650,15.09939579,20.53007462,15.23727797,23.37809939,18.77175466,20.75250741
Csa09g093110,7.638784228,7.432390086,5.201219981,6.49994413,7.760384843,8.53527102
Csa03g014010,2.415227407,3.215280498,1.519473779,1.21701378,1.349629331,1.946297497
Csa03g001210,8.901714208,3.885338468,8.349808847,7.184227004,8.821423863,10.91044572
Csa05g014730,101.4543422,49.35553071,29.09947283,37.25492445,26.35435102,35.15963449
Csa07g002430,9.155759842,11.53209051,16.24119465,14.00658273,18.10350813,14.2527811
Csa16g043460,567.0033721,248.2067515,227.0740756,224.5781958,191.9406146,308.6646041
Csa19g030990,2.8785917,3.769462089,3.897859967,3.549321042,3.903624272,4.30112637
Csa06g028470,34.66175844,24.90025315,24.6949458,19.28401536,29.0751208,19.09376775
Csa20g026840,2.182922974,2.149817407,1.651553853,1.55054687,1.488103479,2.088547522
Csa16g049740,5.188758664,3.862598944,3.617901479,3.380711983,3.470670865,3.931253579
Csa15g027870,2.231216393,1.974369058,1.747375881,2.002227757,1.707985658,1.903173512
Csa12g060250,43.61983848,78.97582581,41.84564509,50.18349376,46.69358682,49.64228705
Csa12g039050,2.512207468,4.207321075,5.163765139,4.980594592,5.460824106,4.715410487
Csa09g050330,0.962695935,4.253759638,3.573677471,3.441655991,4.677586213,2.999103313
Csa19g048850,2.904543323,2.035164439,1.698950576,1.671159066,1.951162657,2.759766003
Csa11g044860,6.254059576,8.263249156,8.244591495,7.314328249,8.328976347,8.492036034
Csa11g071150,42.35056802,40.21326345,48.68536902,64.13083328,78.2237165,50.39829385
Csa03g015030,2.313743342,3.381401198,2.982697018,2.569965189,2.63797309,2.558142644
Csa04g009450,27.42405381,31.23361404,28.13361426,23.2654736,28.47497386,29.66861196
Csa20g002370,5.011299336,2.826418454,2.822086978,2.884303799,3.110333458,3.503099617
Csa17g007990,26.51918841,18.04052598,13.25888839,14.18310635,16.36138252,16.27134547
Csa17g010270,11.95211825,18.01040762,14.14792744,17.49819644,19.20025565,21.52816439
Csa07g019820,11.73865883,7.460192136,5.966445828,5.347853602,6.656661276,6.579766217
Csa16g014700,14.45004224,17.18084946,7.674209386,9.831717928,9.216868034,8.401282148
Csa15g005940,27.41738885,24.55952483,34.98562826,35.09184008,39.12135899,36.86812232
Csa13g015550,9.517119543,5.909511808,5.014356552,5.018521082,5.811861085,6.531530502
Csa09g091810,1.980259033,2.763714142,2.307228314,1.732744276,1.757298008,1.809848362
Csa10g016400,11.74501782,8.683459531,11.43042235,14.65766112,13.91949975,15.65022847
Csa20g077440,4.630649739,2.926631611,2.376315199,2.357855644,2.348383913,3.4525333
Csa12g008100,3.721331807,3.201494208,3.718506834,3.540497709,3.695838085,4.03463013
Csa20g002410,3.997278541,1.703407735,1.840667583,1.752409099,1.692369967,1.863328675
Csa01g016350,1.56047798,4.000001637,2.02411208,3.371578524,3.31206544,3.511505236
Csa18g030200,1.765781161,2.158985373,2.379786442,1.934241684,2.409863307,2.095522558
Csa11g078630,2.236131221,4.739669052,5.225733167,2.151513477,5.302136084,3.149134219
Csa18g018750,1.618277189,5.849470448,8.784977782,3.050111384,8.629582076,3.039711424
Csa19g007620,2.499320777,3.780459544,2.995763554,3.344211956,3.576480156,3.930956477
Csa18g033970,39.76115111,39.08796742,24.49095554,26.01872182,24.61837731,28.38435731
Csa02g073180,3.449496235,3.763246572,2.091725142,1.77574703,2.089635489,2.672215696
Csa06g047060,14.47586575,3.713224677,6.822840594,18.24140684,4.765531988,17.58220014
Csa16g047240,3.865260375,2.982764438,3.4289515,3.895343425,3.968762832,4.093225849
Csa19g027550,4.17227657,4.802709887,4.075188478,3.443157589,3.518081409,4.266744892
Csa06g019870,2.659551458,0.234883485,0.229767101,0.2412721,0.189990646,0.135295606
Csa06g029530,6.855429502,5.576938294,4.790764004,5.330282309,5.082838889,5.200030238
Csa03g047510,15.45755379,12.15669617,6.113901775,9.630048593,9.679888247,10.44904093
Csa05g021060,62.07704849,70.80463145,51.2757899,49.12804604,50.27543395,59.91432145
Csa06g049200,5.394516216,2.622585048,1.544790429,2.300675221,2.280547644,2.327818242
Csa04g060610,8.477400818,7.115418393,8.186124207,8.509924132,10.59168328,9.370301791
Csa17g016630,53.36587125,63.16859208,56.77010886,54.76376216,53.01044628,46.29764353
Csa08g028380,19.51762423,24.67703423,30.63247755,26.41473865,32.85465286,26.09000709
Csa11g099560,15.37592418,12.26578452,17.32315416,22.97852437,20.90524449,29.84159791
Csa02g012880,9.359034137,20.64871006,19.29282353,18.51338711,19.39300994,18.90405627
Csa01g001180,8.712687419,4.151302709,4.899225435,6.837076975,5.532244056,8.052134224
Csa02g041670,17.5553807,11.77933363,4.809239806,8.209579568,6.235599383,5.081690012
Csa17g039410,10.14136926,12.85730295,12.36193511,12.14697685,13.25561136,15.2218919
Csa05g081210,2.903984048,1.095100397,1.127723207,1.122370393,1.177883697,1.707739345
Csa20g038900,2.581683498,2.967076662,2.409440979,2.616274784,2.290185007,2.273468204
Csa01g027990,1.922443362,4.407353875,3.048989079,3.365237725,3.992117876,3.804098384
Csa06g044380,124.6684165,110.486895,157.8330929,175.5967576,183.6265743,131.8757892
Csa15g010220,887.6501823,573.7573244,568.1259893,1048.520451,979.5102467,824.0710354
Csa01g003160,8.399854364,3.790457238,2.70705717,12.12725221,5.105087431,28.23825368
Csa03g019580,1.519507824,1.24690501,2.492352366,1.422135342,1.316616438,1.514915236
Csa11g004590,14.74684494,16.86063814,13.73287886,14.55554512,15.4984767,12.80108172
Csa09g092430,5.683914464,3.903797159,2.60945505,3.290556024,4.387285159,4.239376188
Csa02g064350,2.008923982,4.389686792,3.804074225,5.594378264,4.242430298,4.367445149
Csa20g071740,3.568868745,0.657895077,0.942745041,1.056450585,0.876708024,1.143371719
Csa17g033850,1.590690789,2.289109924,2.252529227,2.184350257,2.347650435,2.538118539
Csa09g077550,8.798498979,2.813532712,1.522602326,3.346571692,2.853753868,2.309840788
Csa12g022790,4.299083987,4.67400762,3.938326674,4.598988358,3.481301192,4.882299045
Csa17g025390,11.53438802,8.375267842,6.316092858,6.986049879,7.00916726,7.741186381
Csa18g034230,3.253081731,7.406257612,7.356407158,8.198085175,7.927481031,8.310162952
Csa09g068220,12.75581161,7.384719854,7.642300148,12.20810356,12.48725292,10.10388495
Csa20g024520,27.25008328,17.48365478,14.05742187,12.17594892,12.5583528,11.82799198
Csa06g037860,3.22945666,1.626717268,1.752382435,1.22015262,1.318206598,1.9843159
Csa05g084730,7.780907359,5.951161939,5.06862494,4.961998192,5.062103837,5.56897375
Csa00636s030,3.578750299,2.410392542,4.177248625,3.070764241,3.302279484,4.421413681
Csa20g011480,8.986558456,8.866502863,7.545677497,6.520897615,6.939484578,7.022563268
Csa12g002070,4.962268379,5.626436288,4.965304302,6.764903938,7.648081118,9.62647656
Csa04g054090,5.160616319,2.152241266,2.406907495,2.44112255,2.901832009,2.79283846
Csa09g086060,1087.109818,664.3117385,414.0205464,533.6475406,440.149776,747.985116
Csa03g053730,4.282688217,4.332111763,5.074659875,3.777377264,4.037462493,4.286696631
Csa09g006910,7.186465579,4.744029006,5.494616775,5.717581929,6.536617082,7.053726528
Csa09g048400,5.57167874,3.173096141,2.568491698,2.293016543,2.283438315,2.538572539
Csa02g052010,2.300675575,2.991823726,4.969343612,4.359935293,5.212214732,6.838956357
Csa03g058670,11.88780204,14.49085089,10.27210801,10.59259967,10.8503678,11.00460946
Csa03g004890,1.734412472,2.139365263,1.23662993,0.752313083,1.359786238,1.787169103
Csa13g012210,77.59320445,72.97622913,54.72428839,67.53667516,71.49634895,66.8821657
Csa13g033830,8.249476433,7.968659186,6.923427591,8.888126294,8.490226663,9.636159377
Csa09g091630,6.651227757,4.326245194,3.868016443,4.048685729,4.183467488,4.916103673
Csa05g017010,85.01008748,75.7480482,45.14027301,57.87625195,43.55203945,54.42064708
Csa19g014920,8.908246231,6.442793714,2.653353451,14.87928532,10.35815001,21.29368587
